,ID,START_DATE,END_DATE,TIMER_total,SYMBOL,EVALUATION_01,EVALUATION_02,EVALUATION_index,SATISFACTION,TRUST,OUTAGE_q01,OUTAGE_q02,OUTAGE_q03,OUTAGE_01,OUTAGE_02,OUTAGE_03,OUTAGE_long,AREA,CITY,CITY_short,GOV_EVALUATION,GOV_SATISFACTION,GOV_TRUST,GOV_ATTITUDES,INTEREST,GENDER,AGE,EDUCATION,INCOME,HOUSE,IDEOLOGY,IEC_ATTITUDES_first,IEC_ATTITUDES_second,IEC_ATTITUDES_third,IEC_ATTITUDES_fourth,MEKOROT_recognize,IROADS_recognize,EAPC_recognize,NTA_recognize,IEC_symbol_recognize,IEC_work,IEC_work_relative,IEC_work_01,IEC_debt,SYMBOL_not_recognize,TIMER_total_filter,IMC,MISSING,GUESS_filter
27,27,14/12/2015 14:25,14/12/2015 14:31,6,2,6,7,6.5,7,7,2,5,1,1,1,0.5,1,SHARON,HERZELIA,HZL,0.5,0.333333333,0.5,0.444444444,0.75,0,37,0.857142857,0.25,0,0.8,EVALUATION_02,SATISFACTION,EVALUATION_01,TRUST,1,1,0,0,1,0,0,0,0,0,0,0,0,0
28,28,14/12/2015 14:27,14/12/2015 14:31,4,0,5,8,6.5,8,7,1,0,1,0,0,0,0,SHARON,HERZELIA,HZL,0.166666667,0.166666667,0.333333333,0.222222222,0.5,1,40,1,0.25,1,0.9,SATISFACTION,EVALUATION_02,TRUST,EVALUATION_01,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,29,14/12/2015 14:25,14/12/2015 14:31,6,0,1,3,2,3,3,3,3,1,1,1,0.5,1,SHARON,HERZELIA,HZL,0,0,0.166666667,0.055555556,0.75,1,29,0.571428571,0.5,0,0.4,TRUST,EVALUATION_02,SATISFACTION,EVALUATION_01,1,1,0,0,0,0,0,0,0,0,0,1,0,0
30,30,14/12/2015 14:26,14/12/2015 14:31,5,2,8,9,8.5,8,8,2,1,3,1,0.5,0.5,0,SHARON,HERZELIA,HZL,0.666666667,0.5,0.666666667,0.611111111,0.75,0,32,1,0.75,0,0.5,EVALUATION_01,TRUST,EVALUATION_02,SATISFACTION,1,1,0,0,1,0,1,1,0,0,0,0,0,0
31,31,14/12/2015 14:25,14/12/2015 14:32,7,0,3,5,4,5,4,1,1,3,0,0,0.5,0,SHARON,HOD HASHARON,HDS,0,0.333333333,0,0.111111111,0.75,1,41,1,0.75,1,0.5,EVALUATION_02,SATISFACTION,EVALUATION_01,TRUST,0,1,1,0,0,0,0,0,0,0,0,1,0,0
32,32,14/12/2015 14:29,14/12/2015 14:32,3,1,5,6,5.5,6,6,2,1,1,1,0.5,0.166666667,0,SHARON,HOD HASHARON,HDS,0.5,0.5,0.666666667,0.555555556,1,0,40,1,1,1,0.7,EVALUATION_01,EVALUATION_02,TRUST,SATISFACTION,1,1,0,1,0,0,0,0,0,0,0,0,0,0
33,33,14/12/2015 14:26,14/12/2015 14:32,6,2,7,8,7.5,7,7,2,1,1,1,0.5,0.166666667,0,SHARON,KFAR SABA,KFS,0.5,0.5,0.333333333,0.444444444,0,1,22,0.857142857,0.5,0,0.6,EVALUATION_02,TRUST,SATISFACTION,EVALUATION_01,0,1,0,0,1,0,1,1,0,0,0,1,0,0
34,34,14/12/2015 14:24,14/12/2015 14:32,8,0,4,6,5,6,6,1,0,1,0,0,0,0,SHARON,HOD HASHARON,HDS,0,0,0,0,1,0,56,1,0.75,1,0,EVALUATION_02,SATISFACTION,EVALUATION_01,TRUST,1,1,1,0,0,0,0,0,0,0,0,1,0,0
35,35,14/12/2015 14:27,14/12/2015 14:32,5,0,6,6,6,6,4,3,1,2,1,0.5,0.5,0,SHARON,HERZELIA,HZL,0.5,0.5,0.5,0.5,0.75,0,32,1,1,1,0.5,TRUST,SATISFACTION,EVALUATION_01,EVALUATION_02,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,36,14/12/2015 14:27,14/12/2015 14:32,5,2,8,9,8.5,9,8,1,1,1,0,0,0.166666667,0,SHARON,HOD HASHARON,HDS,0.333333333,0.333333333,0.166666667,0.277777778,1,0,56,0.857142857,0.5,1,0.2,SATISFACTION,EVALUATION_01,EVALUATION_02,TRUST,1,1,0,0,1,0,0,0,0,0,0,1,0,0
